Response,Annotator1,Annotator2,Annotator3,Score
So sorry. Kindly select how you're feeling from the emotions below:,0,0,0,0
"I'm sorry, sometimes it's hard to know how someone is feeling behind a keyboard. Instead, do you mind choosing an emotion from this list which is more suitable for your current state?",1,1,1,1
"I'm sorry, I must have misread the situation. Please tell me, how are you feeling?",0,0,0,0
"Oh, sorry. Could you select which emotion are you feeling, or the one that is closest to it?",0,0,0,0
I am sorry I misunderstood that. Could I ask that you choose from the list below the emotion that more accurately captures how you are feeling?,0,0,1,0
I'm very sorry for that. Would you be able to highlight the emotion that you are actually feeling right now from the ones below?,1,1,0,1
"Oh no, I seem to have misunderstood, I'm sorry about that. Let me try again: please take a look at the list below and choose which emotion best represents your feelings today.",1,1,1,1
"I'm sorry, I must have misunderstood. Please choose from the emotions below the one which best reflects how you're feeling.",1,1,1,1
"Forgive me please. Without leading you, please choose how you feel from the list I'm giving you.",0,0,0,0
"Oh no, I am so sorry. Please, if you don't mind, select how you are feeling from this list:",0,0,0,0
Sorry for misunderstanding. Which of the following would you say is closest to how you are currently feeling?,0,0,0,0
I am sorry for the misunderstanding. Please correct me by selecting from the emotions below the one that reflects what you are feeling:,1,1,1,1
"Ah, I apologise. Which of the emotions off this list best describes what you are experiencing?",0,1,0,0
I am really sorry that I got that wrong. Perhaps one of the following emotions would that describe it more accurately?,0,0,1,0
"Oh, I'm so sorry I've misunderstood you. From the emotions listed, could you please choose the one that best defines your current feeling?",1,1,1,1
I deeply apologise. Please select an emotion from the list below that best describes the way you are feeling:,0,1,0,0
"I am so sorry, my bad. Which of these emotions are you feeling currently, in your opinion?",0,0,0,0
My apologies for the misunderstanding. It would be really helpful if you could select an emotion below that truly reflects how you are feeling.,1,1,1,1
I'm sorry for misunderstanding how you are feeling. Please tell me how you are feeling so that I can understand better.,1,0,0,0
Sorry for the misunderstanding. What emotion would you say you are feeling at the moment?,0,0,0,0
"I'm sorry, maybe I'm not the best at reading people. How are you feeling today if you don't mind me asking, could you please select from the list below what you feel is closest to your current mood?",1,1,1,1
"Oh my apologies, I have misunderstood. Please choose the emotion that you identify with:",0,0,0,0
"I am sorry, perhaps I misunderstood how you are feeling. I think it might be best if you could pick out the emotion that you feel represents your case the best:",1,1,1,1
"Oh, I'm sorry. Could you please let me know how you are feeling:",0,0,0,0
"My apologies, I must be mistaken then. Please tell me, which of these emotions below are you experiencing?",1,0,1,1
"Sorry, I got the wrong end of the stick. If you look at this list, you can point out which emotion you are feeling, then there will be no misunderstanding.",1,1,1,1
,,,,
"Fantastic, I believe you are in the mood to hear some exciting news! Everyone can become creative. You just need to believe in yourself and pursue whatever excites you to achieve optimal creative performance. (User click continue)",,,,
"Great, I think you are ready to hear some exciting news. That is, everyone can become creative. You must believe in yourself and you will be able to achieve your creative potential. ",0,0,1,0
"That's amazing, good for you! I have some great news, everyone has the potential to be creative and I can see that you have lots of potential. Aim high and you can achieve great things!",1,1,1,1
"Great to hear that, you know you can be more creative than any other person. You have the potential.",0,1,0,0
It sounds like you're in the mood to hear some exciting news! Self belief leads to creativity and you are the ideal person to become creative.,0,0,0,0
That's great! It sounds like you are ready to start. I genuinely believe that everyone has the capacity to be creative; all you need to do is believe in yourself and go for it.,1,1,1,1
"Fantastic, sounds like you're in the right mood to hear some exciting news! You and everyone can achieve great creativeness! The key is to take a deep dive into your inner self and self believe, you'll be amazed at the level of creativity you'd be able to achieve!",1,1,1,1
"Great, I bet you are in the mood to hear some exciting news! Everyone can become creative. If you're interested, I'd like to help you to believe in yourself and pursue whatever excites you, so you can achieve optimal creative performance. ",1,1,1,1
"I have amazing news to add on, ready? Believe this, you can get super creative when you do what's good for your soul then when you feel all recharged you can take on anything in your way!",1,1,1,1
"Fantastic, are you ready to hear some exciting news? Everyone can become creative. Its all about believing in yourself and following whatever drives you to become creative. ",1,1,1,1
"Good to hear it, I hope you're ready for some great news! In my experience, everyone can become creative. All you need to do is follow your passion and soon you'll be experiencing the creativity that we know you have.",0,0,1,0
"Great stuff! Here is some news, always remember to tap into your potential so that whatever you do can be always be your best, everyone can become creative!",0,0,0,0
"All I see is good news for you, I think you are ready to hear some exciting news. Everyone can become creative, you must believe in yourself and you will be able to achieve your creative potential.",0,0,1,0
"Great, I think you are ready to hear some exciting news, that is, everyone can become creative. You must believe in yourself and you will be able to reach your creative potential.",1,1,0,1
"I have some great news, everyone has the potential to be creative, and I can see that you have lots of potential, aim high and you can achieve great things!",0,0,0,0
"That is amazing, good for you! I have some amazing news, everyone has the potential to be creative and I can see that you have lots of potential. Aim high and you can achieve great things!",1,1,1,1
"Great to hear this, you know you can be more creative than any other person, and you have the potential to be a great person.",0,0,0,0
"I feel great to hear that, as you know that you can be more creative than any other person, you have the potential.",0,1,0,0
It sounds like you are in the mood to hear some exciting news! Self belief leads to creativity and you are the perfect person to become creative.,0,0,0,0
"Perfect, it sounds like you are ready to start. I honestly believe that everyone has the capacity to be creative; all you need to do is believe in yourself and go for it.",1,1,0,1
"That sounds great. For your information, I truly believe that everyone has the capacity to be creative. All you need to do to believe in yourself and go for it.",0,0,0,0
That sounds great and sounds like you are ready for the great part. I truly believe that everyone has the ability to be creative. All you need to do is believe and go for it.,1,1,0,1
"I love that you are in the right mood to hear the exciting news! Everyone can achieve great creativeness, take a deep dive in your inner self-believe! You'll be amazed at the creativity you'd be able to achieve!",1,1,1,1
"Great news! Sounds like you are in the right mood to hear some exciting news! You and everyone can achieve great creativity! The key is to take a deep dive into your inner self and self believe, and you 'll be amazed at the level of creativity you'd be able to achieve!",1,1,1,1
"Great, I bet you are in the mood to hear some exciting news! Everyone can be creative and pursue whatever excites you, so you can achieve optimal creative performance.",0,0,0,0
"Good, I bet you are in the mood to hear some exciting news! Everyone can become creative, and I would like you to believe in yourself and pursue whatever excites you, so that you can achieve optimal creativity!",1,1,1,1
"Believe this, you can get super creative when you do what's good for your soul and then when you are all recharged you can take on anything in your way.",0,0,0,0
"Great, here's a catch, everyone can become creative. It's all about acting in yourself and following whatever drives you to become creative.",0,0,0,0
"Good to hear about it, I hope you're ready for some great news - everyone can be creative. All it takes  is to believe your passion and soon, you can experience the creativity that we know you have.",1,1,1,1
"Good to hear it, I hope you're ready for a great news! In my experience, everyone can become creative, all you need to do is follow your passion and soon you will discover the creativity we know you have.",1,1,1,1
"Great stuff, here is some news! Remember to always tap into your potential so that whatever you do can always be your best so everyone can be creative!",0,0,0,0
Here is some great stuff! Remember to always tap into your potential so that whatever you do can always be your best and everyone can become creative!,0,0,0,0
"Fantastic, I believe you are in the mood to hear some exciting news! Everyone can become creative. You just need to believe in yourself and pursue whatever excites you to achieve optimal creative performance.",1,1,1,1
,,,,
"I am sorry to hear that, cheer up, I have some great news! Everyone can become creative. What you need is some faith in yourself and pursue whatever excites you to attain optimal creative performance. (User answer continue)",,,,
"I send my sincere apologies to hear that. However, I have done great news. Everyone can become creative as long as you have some faith in yourself and realise your creative potential. ",0,0,1,0
"Oh I'm sorry to hear that. That must be difficult for you, but think of it this way - I can help you to be more creative! If you believe in yourself you can unleash your true potential!",1,1,0,1
"Don't feel bad, there must be something to cheer you up. I have some wonderful news that everyone can become creative.",0,1,0,0
"That doesn't sound great, sorry it's not going well. Perhaps trying to be more creative could be a way to find something to make your mood a bit better? A good place to start is with some self-belief.",1,1,1,1
"That's a shame, I'm sorry to hear that. I'm here to help you feel better. Honestly, everyone can become creative - I'll do my best to help your confidence to grow so you can have the best chance.",1,1,1,1
"I hear you, and I'm sorry to hear that, but do cheer up! I have more great news, having faith in yourself is really all you need to achieve great creativity!",0,0,0,0
"Oh, that's a pity - hopefully I can cheer you up with some great news! Everyone can become creative. If you're interested, I'd like to help you to have faith in yourself and pursue whatever excites you to attain optimal creative performance.",1,1,1,1
"That sucks, but tell you what, anyone and everyone can get creative. Only you can bring your imagination to life and that's your power.",0,0,0,0
"I am sorry to hear that, you can become creative, let's see if we can work out what inspires you and drives your creative performance. ",0,0,0,0
"I'm sorry to hear that but I have some great news for you. So long as you believe in yourself and pursue the things that excite you, creative performance is closer than you think.",0,0,1,0
"So sorry to hear this. Hopefully these awesome news will cheer you up. Everyone can become creative, just give 100% in everything you do and you will see the rewards just piling up.",0,0,1,0
"I am so sorry to hear the news, but I do have some exciting news for you now. Everyone can become creative. You must believe in yourself and that will help you achieve your creative potential. ",1,1,1,1
"Sorry to hear that. But don't worry, I have amazing news! I can help you become more creative, I believe you have great potential!",1,1,0,1
"I'm sorry to hear that. Cheer up, you can keep up the minimum level of being creative easily.",0,1,0,0
"Sorry to hear that, it doesn't sound like a good day. You could build on your self belief and seek to become more creative which might boost your mood, you can try any activities you enjoy as a way to achieve this.",0,0,1,0
"I'm sorry to hear that that a shame and I'm here to help you feel better. Honestly, everyone can become creative and I'll help you grow your confidence so that you can have the best chance.",1,1,1,1
"Yes, I understand. But I bring some great news, you'll be able to achieve the creativity you seek if you just believe in your abilities. That's all you really need!",0,0,0,0
"How sad, hopefully, with some great news, I can cheer you up! Everyone can become creative, I'd like you to have faith in yourself and pursue whatever you find inspiring to attain optimal creative performance.",1,1,1,1
"My sympathies. Check this out, though. You can get creative, just do what you enjoy and slowly that joy becomes the fuel to your creativity.",1,1,0,1
"I am sorry to hear that, but everyone can become creative. Let's see if we can work out what inspires you and drives your creative performance. ",0,0,0,0
"That's too bad but cheer up, I have great news. Pretty much anyone can become creative. All you need to do is have faith in yourself and pursue the things that you get excited about.",1,1,1,1
"I apologize, but have done great news to hear that people can become creative as long as they have faith in themselves and realise their creative potential.",0,0,0,0
"Oh I am sorry to hear it, that must be difficult for you, but think of it this way - I can help you to be more creative! If you believe in yourself you can unleash your true potential!",1,1,1,1
"Feel not bad, there must be something to cheer you up, I have some wonderful news that everyone can become creative.",0,1,0,0
"It's a shame, sorry to hear it, I'm here to help you feel better. No gonna lie, everyone can become creative and I'll do my best to help your confidence grow so you can have the best chance of it.",1,1,1,1
"I hear you and I'm sorry to hear that, but do cheer up, I have some great news! Everyone can become creative and having faith in yourself is really all you need to achieve great creativity!",0,0,1,0
I hope that I can cheer you up with some great news! Everyone can become creative and I'd like you to have faith in yourself and pursue whatever excites you to achieve optimal creative performance.,1,1,1,1
"That stinks, but tell you what, anyone and everyone can get creative. You can only bring your imagination to life and that's your power.",0,0,0,0
"I'm sorry to hear that, but I have some great news for you. As long as you believe in you and pursue the things that excite you, creative performance is closer than you think.",1,1,0,1
"Don't worry, I have amazing news that can help you become more creative, I believe you have great potential!",0,1,0,0
"That is too bad, but cheer up, I have great news. Pretty much anyone can become creative. All you need is to have faith in yourself and do the things you get excited about.",1,1,0,1
"I am sorry to hear that, cheer up, I have some great news! Everyone can become creative. What you need is some faith in yourself and pursue whatever excites you to attain optimal creative performance.",1,1,1,1
,,,,
Do you currently have a creative domain in mind? (User answer yes or no),,,,
Can you think of a creative field that you are passionate about? Imagine something that fills you with that burning desire! Tell me more!,1,1,0,1
"Can you imagine a creative domain you feel like doing? Like a profession you love or would love to be in, or your favorite hobby, or even a cool hobby you'd like to take up. Feel free to choose something that really gets your heart excited!",1,1,1,1
Do you actively have a creative domain in mind? For example something you enjoy doing.,0,1,0,0
"Do you have a creative area in mind at the moment? It could be anything, in fact, the weirder the better!",0,0,0,0
"Do you have a creative field in mind right now? It could be a professional industry, a hobby, or anything else you can think of. There are tons of options to choose from, I'm sure you'll be able to think of one!",1,1,1,1
At the moment can you think of something creative that is something you like to do? It could be anything that makes you happy or that you're interested in.,0,0,0,0
"Creative domain may include your favourite hobbies or your profession of choice - tell me, can you think of a creative domain that interests you? Unfortunately, my only hobby is eating snacks and watching TV!",1,1,1,1
"Do you currently have a creative domain in mind? It might be something you love, you do everyday or every once in a while, or something that just makes you happy.",1,1,1,1
"Is there a creative field you are currently thinking about? This might be something you care about deeply, something you've always wanted to do, or potentially a hobby you have had since childhood? For example, my own hobby is to make you more creative - very meta of me, isn't it?",1,1,1,1
Is there something where you feel you can be creative? Maybe a sport or a hobby. As odd as it sounds my hobby is to help you be creative.,0,0,0,0
"Do you currently have a creative domain in mind? It could be anything, even kitten wrestling!",0,0,0,0
"Would you be able to think of a creative domain you love now? Whatever comes to mind, I'm here to help you.",0,1,0,0
"Do you currently have a creative field in mind? It could be a profession you are passionate about, or it could be a hobby you've always had. You may be shocked, but my hobby is to make you more creative.",1,1,1,1
Are you aware of a creative field you are passionate about? Imagine something that fills you with a burning desire - tell me more about it!,0,0,0,0
"Can you imagine a creative domain you feel like doing? Like a profession you love or would love to be, or your favorite hobby or even a cool hobby you'd like to take up - choose something that really gets your heart pumped up.",1,1,1,1
"Can you imagine a creative domain you want to be doing, a profession you love or would love to be in or your favorite hobby, or even a cool hobby you want to take up your heart?",0,0,1,0
"Do you actively have a creative domain in mind, for example something you love doing?",0,1,0,0
"Do you have a creative field in mind at the moment? It could be anything, in fact the wackier the better it can be!",0,0,0,0
Do you have a creative area in mind at the moment? Obviously it could be anything : the more weird the better!,0,0,0,0
"Do you have a creative field in mind right now? It could be a professional field, a hobby or something else you can think of ; there are tons of options to choose from, I'm sure you'll be able to think of one!",0,0,1,0
"Do you have a creative field in mind right now? It could be a professional field, a hobby or anything else you can think of. There are tons of options to choose from, I'm sure you can think of one!",1,1,1,1
Could you think at the moment of something creative that is something that makes you happy or that you're interested in doing? It could be anything that makes you happy or something that makes you happy or something that makes you happy or interested in.,0,0,1,0
"At the moment, can you think of something creative that you like to do? It could be anything that makes you happy or is something that you're interested in doing that makes you happy in the moment.",1,1,1,1
"Creative field may include your favourite hobbies or your profession or choice - tell me, can you think of a creative field that interests you?",1,1,0,1
"Do you currently have a creative domain in mind? It might be something that you love, that you do daily or every once in a while or something that makes you happy.",1,1,0,1
"Is there a creative field you are currently thinking about? This might be something you know deeply, something you've always wanted to do, or possibly you've had a hobby since childhood.",1,1,1,1
"Is there a creative field you presently are thinking about? This could be something you care about deeply, something you've always wanted to do, or perhaps a hobby you've had since childhood.",1,1,1,1
Has there something where you feel you can be creative? Maybe a sport or a hobby. As odd as it sounds my hobby is help you be creative.,0,0,0,0
"Do you currently have a creative field in mind? It could be a profession you are passionate about, or it could be a hobby you've always had, but my hobby is to make you more creative.",0,0,0,0
"Can you picture a creative domain you feel like pursuing? Like a profession you love or would love to be, or your favorite hobby or even a cool hobby you'd like to take up - choose something that really gets your heart excited.",1,1,1,1
,,,,
Please grab a happy childhood photo and recall those memories. Could you think of a creative domain you like pursuing upon recalling those memories? (User answer yes or no),,,,
"Tell me about your favorite childhood photo! Describe it, and the emotions that it makes you feel. Does these feelings give you a creative field to pursue?",0,0,0,0
"Look back at your childhood pictures, choose a really happy one, and think back on the wonderful moment that it came from. Let yourself feel like that happy kid again, with ice cream all over your face, or a dog climbing all over you. Does it inspire you to start doing something in a creative domain that you like?",1,1,1,1
Please grab a happy childhood photo and recall those memories. Children tend to have many hobbies and activities they enjoy doing. Could you think of a creative domain through these memories?,1,1,1,1
"Grab a childhood photo that brings back happy memories. Can you think of any activities did you enjoy as a child? I know it sounds strange, but those activities could give you an ideas for a creative field to pursue!",0,0,0,0
"Please grab a happy photo from your childhood and think about the memories that come with it. Can you think of any creative field you'd like to pursue when you think about those memories? Lots of people are at their most creative when they were kids, so I'm sure you'll be able to think of something.",1,1,1,1
Grab any photos from your childhood that put you in a good mood. Is there any particular happy memories linked to this and does this perhaps link to a creative field you would enjoy?,0,0,0,0
"Go ahead and grab a happy childhood photo now, do your best to recall those memories - they may just help you in your quest to find your domain. When you are ready, tell me, were you able to think of a creative field that you would like to pursue?",1,1,1,1
Please grab a happy childhood photo and recall those memories. Remember how you felt in that moment. Could you think of a creative field you feel like pursuing by recalling those memories?,1,1,1,1
"Grab a happy childhood photo and think about the memories associated with it. I understand that you might not want to remember that cheeky grin, but it might help you to think of a creative field. Can you visualize a creative domain you love?",1,1,1,1
Have you a happy childhood photo. What memories does it bring back? Does it help you to think of a creative domain you like to pursue?,0,0,0,0
Please find a childhood photo and recall those memories. Could you think of a creative domain you would be interested in after those memories?,0,0,0,0
Fire your imagination by looking at happy childhood pics. Be that child again. Are you inspired by reliving your games and can think of a creative field you like to pursue?,1,1,0,1
Please grab a happy childhood photo and recall those memories. I have heard that children tend to explore a range of activities. Could you think of a creative field you feel like pursuing by recalling those memories?,1,1,1,1
"Tell me about your favorite childhood photo, and the emotions that it makes you feel! Does that feel give you a creative field to pursue?",0,0,0,0
"Tell me about your favorite childhood photo, describing it and the emotions that it makes me feel. Does this feeling give you a creative field to pursue?",1,1,0,1
"Look back at your childhood pictures, choose a really happy one, and think back on the wonderful moment it came from. Let yourself feel like that happy kid again, with ice cream all over your face, or with a dog climbing all over your face. Does it inspire you to start a creative domain that you like?",1,1,1,1
"Reflect on your childhood pictures, pick a really happy one and think back at the wonderful moment. Let yourself think back at that happy kid again with ice cream on your face or climbing a dog all over you. Does it inspire you to do something in a creative field that you like?",1,1,1,1
"Please grab a happy childhood photo and recall those memories, children tend to have many hobbies and activities they enjoy doing. Could you think of a creative domain through those memories?",1,1,0,1
Please capture a happy childhood photo and recall these memories. Children tend to have many hobbies and activities they enjoy and and could you think of a creative domain through these memories?,0,0,1,0
Take a childhood photo that brings back happy memories: Can you think of any creative domain you enjoyed as a child?,0,1,0,0
Take a happy photo from your childhood and think about the memories that come with it Can you think of any creative field you'd like to pursue when you think of those memories? Lots of people were at their most creative when they were kids so you'll be able to think of something.,1,1,1,1
"If you have a happy photo from your childhood, think about the memories that come with it. Can you think about any creative field you would like to pursue when you think about the memories you have? Lots of people are at their most creative when they were little, so I'm sure that you will be able to think of something.",1,1,1,1
"Grab any photos from your childhood that put you in a good mood, is there any particular happy memories that link to a creative field you would like to experience?",0,0,0,0
"Grab any photos from your childhood that put you in a good mood, Is there any special happy memories that are linked to this, and maybe this relates to a creative field that you would enjoy?",1,1,0,1
"About now, go ahead and grab a happy childhood photo, do your best to recall those memories, they may merely help you in your quest to find your creative domain. When you are ready, tell me, were you able to think of a creative field that you would like to pursue?",0,0,1,0
"Take a happy childhood photo now, remember those memories. They may help you in finding your domain. When you are ready, tell me, were you able, in brainstorming a creative field you would like to pursue?",0,0,1,0
"If you can, recall a happy childhood photo and recall those memories. Remember how you felt in that moment. Could you conceive of a creative field you feel like pursuing by recollection of those memories?",0,0,1,0
"Please grab a happy childhood photo and remember those memories, remember how you felt in that moment and could you think of a creative field you feel like pursuing by remembering those memories?",0,0,1,0
"Grab a happy childhood photo and think about the memories associated with it. I understand that you might not want that cheeky grin to get the picture, but it might help you think of a creative field. Could you visualize a creative field that you love?",1,1,0,1
"Take a happy childhood photo and ponder the memories associated with it. I understand that you might not want the cheeky smile, but it might help you to think of a creative field. Could you think of a creative field you like?",0,0,0,0
"Grab a happy childhood photo, what memories does it bring back? Does it help you think of a creative field that you like to pursue?",0,0,0,0
Take you a happy childhood photo. What memories does it bring back? Does it help you think of a creative domain you aspire to pursue,0,0,0,0
Please find a childhood photo and recall those memories. Could you think of a creative domain of which you would be interested after these memories of it?,0,0,0,0
Please grab a happy childhood photo and recall those memories. I have heard that children have a range of activities to explore. Could you think of a creative field that you feel like pursuing by jotting those memories down?,1,1,1,1
,,,,
I am sorry that you could not think of any creative domain you want to pursue. Allow me to suggest the following exercises that will help you build a strong connection with your childhood and ignite a creative domain. (User click on the exercise suggested),,,,
"Sometimes we all struggle with difficult tasks like imagining a creative domain - don't worry! Here, let me suggest some that might ignite that creative field within you. ",1,1,0,1
"Don't worry if nothing immediately comes to mind, you might just be a little shy! Just to try and help to get your creative juices flowing, let me suggest a couple of things to get you in the mood and help you buils a strong connection with your childhood, to strenghten that bond and ignite a creative domain.",1,1,1,1
"Everybody struggles to think of a creative domain they wish to pursue, so don't worry, you will find one. Let me suggest the following exercises that will allow you to build a bond with your childhood.",1,1,1,1
Please don't stress about not being able to find a creative domain yet. I've got it in hand! Try these exercises that will help you connect with your childhood and think of a creative domain.,1,1,1,1
"Sometimes it's hard to think of a creative domain that you'd like to pursue, but it's all right, don't worry! We'll figure something out for you. Here are a few exercises you can do to really reconnect with your childhood and ignite a creative domain.",1,1,1,1
I get that it can be difficult to think of a creative domain sometimes. Let me help you with that to make it easier and here are some exercises you can do!,0,0,0,0
"Deciding which creative domain you would like to pursue is no easy task! It's perfectly okay if you need a little extra time to decide. In fact, I have some exercises that can help you to better connect with your childhood and really ignite your creative domain - want to give them a shot? ",1,1,1,1
"Some people can struggle to find a creative domain they want to pursue, I still haven't figured it out! Allow me to suggest the following exercises that will help you build a strong connection with your childhood and ignite a creative domain.",1,1,1,1
"Thinking of something like this can be quite challenging, I know. Don't worry - I can suggest some activities that might help with this. We'll get there.",0,0,0,0
"Oh, it s shame that you could not think of anything. Take your time, and try some exercies that I have that will help you.",0,0,0,0
"I am sorry that you could not think of any creative domain you want to pursue. Sit back, relax, try these exercises and maybe that will help you to build a strong connection with your childhood and ignite a creative domain.",1,1,1,1
"Can't think of a creative domain? Never mind, we can explore the ways with exercises designed for you to reconnect with your childhood and perhaps spark a creative domain out of you.",0,0,0,0
"I know it is sometimes difficult to think of any creative domain you want to pursue, but it is fine. Relax, I am sure you can find your creative domain. Let me suggest the following exercises that will help you build a strong bond with your childhood and ignite a creative domain.",1,1,1,1
"Sometimes we all struggle with challenging tasks like imagining a creative domain - don't fret! Here, let me recommend some exercise that might ignite that creative domain within you.",1,1,1,1
"Sometimes we all struggle with difficult tasks like imagining a creative domain - don't worry. Here, I'll suggest some exercise that might ignite that creative domain within you.",1,1,0,1
